season,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,award_share,mov,mov_adj,win_loss_pct
1995,Mahmoud Abdul-Rauf,PG,25,DEN,73,43,28.5,6.5,13.8,0.47,1.1,2.9,0.386,5.3,10.8,0.492,0.511,1.9,2.1,0.885,0.4,1.4,1.9,3.6,1.1,0.1,1.6,1.7,16.0,2082,17.8,0.543,0.214,0.155,1.9,5.9,3.9,23.0,1.9,0.3,10.0,25.8,3.8,1.3,5.0,0.115,2.3,-1.1,1.2,1.7,0.0,0.84,0.95,0.5
1995,Kenny Anderson,PG,24,NJN,72,70,37.3,5.7,14.3,0.399,1.3,4.1,0.33,4.4,10.2,0.426,0.446,4.8,5.8,0.841,1.0,2.5,3.5,9.4,1.4,0.2,3.1,2.6,17.6,2689,18.0,0.522,0.285,0.402,3.0,7.2,5.1,43.1,2.0,0.4,15.6,23.5,4.8,2.0,6.8,0.122,3.0,-0.7,2.2,2.8,0.0,-3.13,-3.28,0.366
1995,Nick Anderson,SG,27,ORL,76,76,34.1,5.8,12.1,0.476,2.4,5.7,0.415,3.4,6.5,0.528,0.573,1.9,2.7,0.704,1.1,3.3,4.4,4.1,1.6,0.3,1.9,1.6,15.8,2588,17.5,0.593,0.467,0.22,3.9,10.7,7.4,17.4,2.4,0.6,12.2,19.1,5.7,2.6,8.3,0.154,3.4,0.7,4.0,3.9,0.0,7.06,6.44,0.695
1995,B.J. Armstrong,PG,27,CHI,82,82,31.4,5.1,10.9,0.468,1.3,3.1,0.427,3.8,7.8,0.484,0.528,2.5,2.8,0.884,0.3,2.0,2.3,3.0,1.0,0.1,1.3,1.9,14.0,2577,15.1,0.577,0.283,0.261,1.1,7.4,4.3,14.7,1.7,0.2,9.4,19.0,5.4,2.8,8.1,0.152,1.0,-0.1,1.0,1.9,0.0,4.83,4.31,0.573
1995,Stacey Augmon,SG,26,ATL,76,76,31.1,5.2,11.5,0.453,0.1,0.3,0.269,5.1,11.2,0.459,0.457,3.3,4.6,0.728,2.1,2.8,4.8,2.6,1.3,0.6,2.0,2.1,13.9,2362,16.0,0.512,0.03,0.395,7.6,10.7,9.1,14.3,2.3,1.5,12.9,22.7,1.9,3.2,5.1,0.103,0.1,0.6,0.7,1.6,0.0,1.28,1.05,0.512
1995,Vin Baker,PF,23,MIL,82,82,41.0,7.2,15.0,0.483,0.1,0.3,0.292,7.2,14.7,0.487,0.486,3.1,5.3,0.593,3.5,6.8,10.3,3.6,1.0,1.4,2.7,3.4,17.7,3361,16.6,0.511,0.02,0.352,10.0,20.6,15.1,15.1,1.3,2.6,13.5,21.6,2.7,3.1,5.8,0.083,0.2,-0.1,0.2,1.8,0.0,-4.37,-4.3,0.415
1995,Charles Barkley,PF,31,PHO,68,66,35.0,8.1,16.8,0.486,1.1,3.2,0.338,7.1,13.6,0.521,0.518,5.6,7.5,0.748,3.0,8.1,11.1,4.1,1.6,0.7,2.2,3.0,23.0,2382,25.2,0.572,0.192,0.444,9.8,26.8,18.2,18.9,2.3,1.4,9.9,27.5,7.4,3.3,10.6,0.214,5.6,0.7,6.3,5.0,0.091,3.88,3.85,0.72
1995,Dana Barros,PG,27,PHI,82,82,40.5,7.0,14.2,0.49,2.4,5.2,0.464,4.6,9.0,0.505,0.575,4.2,4.7,0.899,0.3,3.0,3.3,7.5,1.8,0.0,3.0,1.9,20.6,3318,20.9,0.632,0.365,0.331,0.9,8.7,4.8,32.6,2.4,0.1,15.3,21.2,10.5,2.2,12.7,0.183,4.7,0.2,5.0,5.8,0.0,-5.07,-5.07,0.293
1995,Mookie Blaylock,PG,27,ATL,80,80,38.4,6.4,15.0,0.425,2.5,6.9,0.359,3.9,8.0,0.482,0.508,2.0,2.7,0.729,1.5,3.5,4.9,7.7,2.5,0.3,3.0,2.1,17.2,3069,19.2,0.531,0.463,0.179,4.3,10.7,7.5,34.2,3.5,0.6,15.8,22.7,4.6,4.8,9.4,0.147,3.5,1.5,5.1,5.4,0.0,1.28,1.05,0.512
1995,Muggsy Bogues,PG,30,CHH,78,78,33.7,4.5,9.4,0.477,0.1,0.4,0.2,4.4,9.0,0.489,0.481,2.1,2.3,0.889,0.7,2.6,3.3,8.7,1.3,0.0,1.7,1.9,11.1,2629,16.9,0.533,0.041,0.247,2.4,8.9,5.8,40.3,2.1,0.0,14.0,16.6,5.8,2.8,8.6,0.157,1.2,0.3,1.5,2.3,0.0,3.28,2.86,0.61
1995,Terrell Brandon,PG,24,CLE,67,41,29.3,5.1,11.4,0.448,0.7,1.8,0.397,4.4,9.6,0.457,0.479,2.4,2.8,0.855,0.5,2.3,2.8,5.4,1.6,0.2,2.1,1.8,13.3,1961,18.7,0.527,0.159,0.244,2.2,9.9,5.9,35.8,3.1,0.6,14.6,24.2,2.6,3.0,5.6,0.137,2.1,1.6,3.8,2.8,0.0,0.62,0.55,0.524
1995,Dee Brown,SG,26,BOS,79,69,35.3,5.5,12.4,0.447,1.6,4.1,0.385,3.9,8.2,0.478,0.512,3.0,3.5,0.852,0.8,2.4,3.2,3.8,1.4,0.6,1.8,2.3,15.6,2792,15.7,0.562,0.335,0.284,2.6,7.8,5.1,16.7,2.0,1.2,11.7,19.3,5.0,1.8,6.8,0.117,1.8,0.3,2.1,2.9,0.0,-1.88,-1.92,0.427
1995,Scott Burrell,SF,24,CHH,65,62,31.0,4.3,9.1,0.467,1.5,3.6,0.409,2.8,5.5,0.506,0.548,1.5,2.2,0.694,1.5,4.2,5.7,2.5,1.2,0.6,1.3,2.9,11.5,2014,15.0,0.571,0.396,0.243,5.9,15.3,10.8,12.6,2.0,1.4,11.5,17.0,2.8,2.9,5.6,0.135,1.1,1.1,2.2,2.1,0.0,3.28,2.86,0.61
1995,Elden Campbell,PF,26,LAL,73,59,28.4,4.9,10.8,0.459,0.0,0.0,0.0,4.9,10.7,0.459,0.459,2.6,4.0,0.666,2.3,3.8,6.1,1.3,0.9,1.8,1.3,3.4,12.5,2076,15.4,0.5,0.001,0.369,8.9,14.8,11.9,6.8,1.7,4.4,9.7,21.0,1.5,2.3,3.8,0.087,-1.6,0.0,-1.6,0.2,0.0,-0.22,-0.01,0.585
1995,Cedric Ceballos,SF,25,LAL,58,54,35.0,8.6,16.8,0.509,1.0,2.5,0.397,7.6,14.3,0.528,0.538,3.6,5.0,0.716,2.9,5.1,8.0,1.8,1.0,0.3,2.5,2.3,21.7,2029,19.9,0.57,0.149,0.299,9.2,16.1,12.6,8.9,1.5,0.6,11.5,26.5,3.5,1.7,5.2,0.123,2.8,-1.9,0.9,1.5,0.001,-0.22,-0.01,0.585
1995,Calbert Cheaney,SG,23,WSB,78,71,34.0,6.6,14.5,0.453,1.2,3.6,0.339,5.3,10.8,0.492,0.496,2.2,2.7,0.812,1.3,2.8,4.1,2.3,1.0,0.3,1.9,2.8,16.6,2651,14.2,0.529,0.251,0.189,4.4,9.7,7.0,11.0,1.5,0.6,11.0,22.6,2.1,1.1,3.2,0.058,0.3,-1.3,-1.1,0.6,0.0,-5.6,-5.56,0.256
1995,Bimbo Coles,PG,26,MIA,68,65,32.5,3.8,8.9,0.43,0.2,1.1,0.211,3.6,7.8,0.461,0.443,2.1,2.6,0.81,0.7,2.1,2.8,6.1,1.5,0.2,2.3,2.7,10.0,2207,12.5,0.497,0.125,0.287,2.4,7.9,5.1,27.9,2.3,0.5,18.6,16.8,1.2,1.6,2.8,0.06,-1.3,-0.2,-1.5,0.3,0.0,-1.63,-1.85,0.39
1995,Dale Davis,PF,25,IND,74,70,31.7,4.4,7.8,0.563,0.0,0.0,0.0,4.4,7.8,0.563,0.563,1.9,3.5,0.533,3.5,5.9,9.4,0.8,1.0,1.6,1.7,3.0,10.6,2346,16.1,0.57,0.002,0.45,13.6,22.1,17.9,4.0,1.6,3.8,15.2,15.9,2.6,4.3,6.8,0.14,0.1,0.8,0.9,1.7,0.0,3.7,3.35,0.634
1995,Todd Day,SG,25,MIL,82,81,33.1,5.4,12.8,0.424,2.0,5.1,0.39,3.4,7.7,0.447,0.502,3.1,4.2,0.754,1.2,2.8,3.9,1.6,1.3,0.8,1.9,3.5,16.0,2717,14.4,0.546,0.398,0.325,4.1,10.4,7.1,8.3,2.0,1.7,11.6,22.1,2.9,1.9,4.8,0.085,0.4,-0.5,-0.1,1.3,0.0,-4.37,-4.3,0.415
1995,Vinny Del Negro,SG,28,SAS,75,71,31.5,5.0,10.2,0.486,0.9,2.2,0.407,4.1,8.1,0.507,0.529,1.7,2.2,0.79,0.4,2.2,2.6,3.0,0.8,0.2,0.7,2.4,12.5,2360,13.8,0.56,0.211,0.211,1.4,7.5,4.6,14.6,1.3,0.4,6.3,16.7,4.6,2.2,6.8,0.138,0.2,0.5,0.7,1.6,0.0,5.96,5.9,0.756
1995,Vlade Divac,C,26,LAL,80,80,35.1,6.1,12.0,0.507,0.1,0.7,0.189,5.9,11.3,0.525,0.512,3.7,4.8,0.777,3.3,7.1,10.4,4.1,1.4,2.2,2.6,3.8,16.0,2807,20.5,0.568,0.055,0.399,10.3,22.4,16.3,18.0,2.0,4.3,15.4,20.4,5.3,4.2,9.5,0.162,1.9,2.1,3.9,4.1,0.0,-0.22,-0.01,0.585
