season,score,max_score,accuracy
1982,2.8,5.0,0.5599999999999999
1983,3.8000000000000003,5.0,0.76
1984,7.2,5.0,1.44
1985,4.6,5.0,0.9199999999999999
1986,6.0,5.0,1.2
1987,4.0,5.0,0.8
1988,7.000000000000001,5.0,1.4000000000000001
1989,9.399999999999999,5.0,1.8799999999999997
1990,4.2,5.0,0.8400000000000001
1991,2.2,5.0,0.44000000000000006
1992,3.6,5.0,0.72
1993,4.199999999999999,5.0,0.8399999999999999
1994,11.8,5.0,2.3600000000000003
1995,10.200000000000001,5.0,2.04
1996,4.0,5.0,0.8
1997,4.0,5.0,0.8
1998,4.0,5.0,0.8
2000,10.800000000000002,5.0,2.1600000000000006
2001,6.3999999999999995,5.0,1.2799999999999998
2002,3.8,5.0,0.76
2003,7.799999999999999,5.0,1.5599999999999998
2004,3.5999999999999996,5.0,0.72
2005,5.999999999999999,5.0,1.1999999999999997
2006,5.8,5.0,1.16
2007,6.0,5.0,1.2
2008,4.4,5.0,0.8800000000000001
2009,4.4,5.0,0.8800000000000001
2010,2.6,5.0,0.52
2011,7.600000000000001,5.0,1.5200000000000002
2012,7.3999999999999995,5.0,1.48
2013,3.4000000000000004,5.0,0.68
2014,5.4,5.0,1.08
2015,4.3999999999999995,5.0,0.8799999999999999
2016,3.0,5.0,0.6
2017,4.6,5.0,0.9199999999999999
2018,7.399999999999999,5.0,1.4799999999999998
2019,7.200000000000001,5.0,1.4400000000000002
2020,9.4,5.0,1.8800000000000001
2021,8.399999999999999,5.0,1.6799999999999997
2022,4.6,5.0,0.9199999999999999
