season,player,actual_rank,predicted_rank,actual_award_share,predicted_award_share,rank_diff,points
2015,Stephen Curry,1,1,0.922,0.8942414324368053,0,1.0
2015,James Harden,2,2,0.72,0.5063307446921476,0,1.0
2015,LeBron James,3,7,0.425,0.05579050288753909,4,0.2
2015,Russell Westbrook,4,6,0.271,0.05933486593188601,2,0.6
2015,Anthony Davis,5,4,0.156,0.2701054526508268,-1,0.8
2016,Stephen Curry,1,1,1.0,1.0,0,1.0
2016,Kawhi Leonard,2,3,0.484,0.4369912061572858,1,0.8
2016,LeBron James,3,2,0.482,0.49887413252107743,-1,0.8
2016,Russell Westbrook,4,5,0.371,0.12304106345665193,1,0.8
2016,Kevin Durant,5,4,0.112,0.4051135247270288,-1,0.8
2017,Russell Westbrook,1,3,0.879,0.34083398851629676,2,0.6
2017,James Harden,2,1,0.746,0.49476982891069393,-1,0.8
2017,Kawhi Leonard,3,2,0.495,0.35063903802302504,-1,0.8
2017,LeBron James,4,7,0.33,0.14042632289053686,3,0.4
2017,Isaiah Thomas,5,9,0.08,0.07277328389004567,4,0.2
2018,James Harden,1,1,0.955,0.953627904318117,0,1.0
2018,LeBron James,2,2,0.731,0.41715046254930915,0,1.0
2018,Anthony Davis,3,3,0.441,0.23396702408762526,0,1.0
2018,Damian Lillard,4,9,0.205,0.05523633056835273,5,0.0
2018,Russell Westbrook,5,8,0.075,0.08832568760796211,3,0.4
2019,Giannis Antetokounmpo,1,2,0.932,0.5528643508017007,1,0.8
2019,James Harden,2,1,0.768,0.6014153576683927,-1,0.8
2019,Paul George,3,4,0.352,0.07282868241002144,1,0.8
2019,Nikola Jokić,4,5,0.21,0.06320030239260066,1,0.8
2019,Stephen Curry,5,10,0.173,0.02848743616052461,5,0.0
2020,Giannis Antetokounmpo,1,1,0.952,0.7143957502217276,0,1.0
2020,LeBron James,2,3,0.746,0.19399006316752318,1,0.8
2020,James Harden,3,2,0.363,0.4575238968486594,-1,0.8
2020,Luka Dončić,4,11,0.198,0.020758571008395975,7,0.0
2020,Anthony Davis,5,4,0.081,0.17412972304120505,-1,0.8
2021,Nikola Jokić,1,1,0.961,0.6273030072427606,0,1.0
2021,Stephen Curry,2,7,0.449,0.0704432347465456,5,0.0
2021,Giannis Antetokounmpo,3,2,0.345,0.29933461295381136,-1,0.8
2021,Chris Paul,4,4,0.138,0.10026243562535699,0,1.0
2021,Luka Dončić,5,8,0.042,0.04549975406341551,3,0.4
2022,Nikola Jokić,1,3,0.875,0.276180415444733,2,0.6
2022,Joel Embiid,2,2,0.706,0.32904998119516093,0,1.0
2022,Giannis Antetokounmpo,3,1,0.595,0.4375505597541671,-2,0.6
2022,Devin Booker,4,6,0.216,0.07575563859715465,2,0.6
2022,Luka Dončić,5,5,0.146,0.07872381135780604,0,1.0
