season,player,actual_rank,predicted_rank,actual_award_share,predicted_award_share,rank_diff,points
2015,Stephen Curry,1,2,0.922,0.2542439946306537,1,0.8
2015,James Harden,2,1,0.72,0.336142294454828,-1,0.8
2015,LeBron James,3,5,0.425,0.1700195712422316,2,0.6
2015,Russell Westbrook,4,9,0.271,0.1226069337978882,5,0.0
2015,Anthony Davis,5,4,0.156,0.2016039609691074,-1,0.8
2016,Stephen Curry,1,1,1.0,0.2892511732347502,0,1.0
2016,Kawhi Leonard,2,9,0.484,0.14225798002810508,7,0.0
2016,LeBron James,3,3,0.482,0.26018731116824595,0,1.0
2016,Russell Westbrook,4,5,0.371,0.20683010518194048,1,0.8
2016,Kevin Durant,5,4,0.112,0.23494867343619721,-1,0.8
2017,Russell Westbrook,1,1,0.879,0.34270768382017575,0,1.0
2017,James Harden,2,2,0.746,0.2748401170262949,0,1.0
2017,Kawhi Leonard,3,7,0.495,0.1687607162330836,4,0.2
2017,LeBron James,4,4,0.33,0.2118987774370647,0,1.0
2017,Isaiah Thomas,5,12,0.08,0.12722970497321393,7,0.0
2018,James Harden,1,3,0.955,0.2293224255575763,2,0.6
2018,LeBron James,2,1,0.731,0.388530156573839,-1,0.8
2018,Anthony Davis,3,6,0.441,0.19820298727288005,3,0.4
2018,Damian Lillard,4,5,0.205,0.2057537113719884,1,0.8
2018,Russell Westbrook,5,2,0.075,0.26201521650383913,-3,0.4
2019,Giannis Antetokounmpo,1,3,0.932,0.20413248275823354,2,0.6
2019,James Harden,2,1,0.768,0.33636504368263376,-1,0.8
2019,Paul George,3,2,0.352,0.2127935813346381,-1,0.8
2019,Nikola Jokić,4,4,0.21,0.18393658797766735,0,1.0
2019,Stephen Curry,5,15,0.173,0.09179830700266332,10,0.0
2020,Giannis Antetokounmpo,1,4,0.952,0.20237731422579716,3,0.4
2020,LeBron James,2,2,0.746,0.25197789679169036,0,1.0
2020,James Harden,3,1,0.363,0.3048275296323391,-2,0.6
2020,Luka Dončić,4,7,0.198,0.1557275278135646,3,0.4
2020,Anthony Davis,5,6,0.081,0.18151766486840656,1,0.8
2021,Nikola Jokić,1,1,0.961,0.3326397946065112,0,1.0
2021,Stephen Curry,2,5,0.449,0.14151699196193238,3,0.4
2021,Giannis Antetokounmpo,3,4,0.345,0.1492229444727983,1,0.8
2021,Chris Paul,4,19,0.138,0.044757104828524116,15,0.0
2021,Luka Dončić,5,2,0.042,0.18270864355158586,-3,0.4
2022,Nikola Jokić,1,1,0.875,0.4009647384992719,0,1.0
2022,Joel Embiid,2,3,0.706,0.22574955632177998,1,0.8
2022,Giannis Antetokounmpo,3,2,0.595,0.2437067283028549,-1,0.8
2022,Devin Booker,4,10,0.216,0.11763934510308226,6,0.0
2022,Luka Dončić,5,4,0.146,0.2025172215459407,-1,0.8
