season,player,actual_rank,predicted_rank,actual_award_share,predicted_award_share,rank_diff,points
2015,Stephen Curry,1,1,0.922,0.8242100000000001,0,1.0
2015,James Harden,2,2,0.72,0.4510700000000002,0,1.0
2015,LeBron James,3,7,0.425,0.08110999999999996,4,0.2
2015,Russell Westbrook,4,5,0.271,0.19706000000000007,1,0.8
2015,Anthony Davis,5,4,0.156,0.26032000000000016,-1,0.8
2016,Stephen Curry,1,1,1.0,0.934,0,1.0
2016,Kawhi Leonard,2,4,0.484,0.39974,2,0.6
2016,LeBron James,3,2,0.482,0.44720000000000026,-1,0.8
2016,Russell Westbrook,4,5,0.371,0.16029,1,0.8
2016,Kevin Durant,5,3,0.112,0.43422000000000005,-2,0.6
2017,Russell Westbrook,1,3,0.879,0.3009200000000001,2,0.6
2017,James Harden,2,1,0.746,0.38683000000000006,-1,0.8
2017,Kawhi Leonard,3,2,0.495,0.3183900000000001,-1,0.8
2017,LeBron James,4,6,0.33,0.15263999999999997,2,0.6
2017,Isaiah Thomas,5,10,0.08,0.11307,5,0.0
2018,James Harden,1,1,0.955,0.8392399999999999,0,1.0
2018,LeBron James,2,2,0.731,0.3434100000000002,0,1.0
2018,Anthony Davis,3,3,0.441,0.27785,0,1.0
2018,Damian Lillard,4,11,0.205,0.06045999999999999,7,0.0
2018,Russell Westbrook,5,7,0.075,0.10973999999999995,2,0.6
2019,Giannis Antetokounmpo,1,1,0.932,0.5826199999999998,0,1.0
2019,James Harden,2,2,0.768,0.45535000000000003,0,1.0
2019,Paul George,3,10,0.352,0.04336999999999997,7,0.0
2019,Nikola Jokić,4,7,0.21,0.077,3,0.4
2019,Stephen Curry,5,9,0.173,0.05713999999999997,4,0.2
2020,Giannis Antetokounmpo,1,1,0.952,0.5981899999999998,0,1.0
2020,LeBron James,2,3,0.746,0.24174999999999983,1,0.8
2020,James Harden,3,2,0.363,0.3932600000000002,-1,0.8
2020,Luka Dončić,4,7,0.198,0.06007000000000001,3,0.4
2020,Anthony Davis,5,4,0.081,0.22815999999999995,-1,0.8
2021,Nikola Jokić,1,1,0.961,0.57027,0,1.0
2021,Stephen Curry,2,4,0.449,0.09444999999999996,2,0.6
2021,Giannis Antetokounmpo,3,2,0.345,0.18351000000000003,-1,0.8
2021,Chris Paul,4,10,0.138,0.025269999999999994,6,0.0
2021,Luka Dončić,5,8,0.042,0.05234999999999995,3,0.4
2022,Nikola Jokić,1,2,0.875,0.4527199999999999,1,0.8
2022,Joel Embiid,2,3,0.706,0.29229000000000016,1,0.8
2022,Giannis Antetokounmpo,3,1,0.595,0.48664000000000024,-2,0.6
2022,Devin Booker,4,7,0.216,0.11542999999999999,3,0.4
2022,Luka Dončić,5,8,0.146,0.09876999999999996,3,0.4
