season,player,actual_rank,predicted_rank,actual_award_share,predicted_award_share,rank_diff,points
1989,Magic Johnson,1,4,0.782,0.2251605669034202,3,0.4
1989,Michael Jordan,2,1,0.704,0.46852443601944654,-1,0.8
1989,Karl Malone,3,6,0.426,0.20302231304040197,3,0.4
1989,Patrick Ewing,4,9,0.235,0.14905988105566442,5,0.0
1989,Hakeem Olajuwon,5,7,0.211,0.15986812965205013,2,0.6
1996,Michael Jordan,1,1,0.986,0.42174017963434923,0,1.0
1996,David Robinson,2,2,0.508,0.31531089795244444,0,1.0
1996,Anfernee Hardaway,3,4,0.319,0.23687158968129074,1,0.8
1996,Hakeem Olajuwon,4,6,0.211,0.1900570776992666,2,0.6
1996,Scottie Pippen,5,8,0.2,0.1636284129981676,3,0.4
2001,Allen Iverson,1,6,0.904,0.19232989943292073,5,0.0
2001,Tim Duncan,2,9,0.569,0.15478438198511477,7,0.0
2001,Shaquille O'Neal,3,2,0.466,0.2270777516691328,-1,0.8
2001,Chris Webber,4,15,0.42,0.12302610920925167,11,0.0
2001,Kevin Garnett,5,5,0.122,0.19882216207053113,0,1.0
2003,Tim Duncan,1,4,0.808,0.23556425213573318,3,0.4
2003,Kevin Garnett,2,1,0.732,0.31617035084866285,-1,0.8
2003,Kobe Bryant,3,2,0.417,0.27838023563405995,-1,0.8
2003,Tracy McGrady,4,3,0.359,0.27188924471658915,-1,0.8
2003,Shaquille O'Neal,5,10,0.106,0.1496902333311081,5,0.0
2005,Steve Nash,1,21,0.839,0.07660686366425758,20,0.0
2005,Shaquille O'Neal,2,13,0.813,0.12411340989641853,11,0.0
2005,Dirk Nowitzki,3,4,0.275,0.22635743495454808,1,0.8
2005,Tim Duncan,4,23,0.258,0.056630520538251974,19,0.0
2005,Allen Iverson,5,5,0.189,0.21035758651871844,0,1.0
2011,Derrick Rose,1,2,0.977,0.29963040276998,1,0.8
2011,Dwight Howard,2,6,0.531,0.22039554622366628,4,0.2
2011,LeBron James,3,1,0.431,0.3854766590641052,-2,0.6
2011,Kobe Bryant,4,8,0.354,0.16665107810581087,4,0.2
2011,Kevin Durant,5,5,0.157,0.2391573637788621,0,1.0
2021,Nikola Jokić,1,1,0.961,0.3396147390461169,0,1.0
2021,Stephen Curry,2,4,0.449,0.17122098685128115,2,0.6
2021,Giannis Antetokounmpo,3,6,0.345,0.14973480827781613,3,0.4
2021,Chris Paul,4,23,0.138,0.03516739932382282,19,0.0
2021,Luka Dončić,5,2,0.042,0.19937007631311512,-3,0.4
