season,player,actual_rank,predicted_rank,actual_award_share,predicted_award_share,rank_diff,points
2015,Stephen Curry,1,3,0.922,0.6402534246444702,2,0.6
2015,James Harden,2,4,0.72,0.5384706258773804,2,0.6
2015,LeBron James,3,6,0.425,0.11374221742153168,3,0.4
2015,Russell Westbrook,4,5,0.271,0.36549293994903564,1,0.8
2015,Anthony Davis,5,2,0.156,0.670802891254425,-3,0.4
2016,Stephen Curry,1,1,1.0,0.6878547072410583,0,1.0
2016,Kawhi Leonard,2,2,0.484,0.5295136570930481,0,1.0
2016,LeBron James,3,4,0.482,0.46748578548431396,1,0.8
2016,Russell Westbrook,4,5,0.371,0.4289882183074951,1,0.8
2016,Kevin Durant,5,3,0.112,0.4749225974082947,-2,0.6
2017,Russell Westbrook,1,2,0.879,0.42503663897514343,1,0.8
2017,James Harden,2,1,0.746,0.4603387415409088,-1,0.8
2017,Kawhi Leonard,3,3,0.495,0.3161364197731018,0,1.0
2017,LeBron James,4,4,0.33,0.24936430156230927,0,1.0
2017,Isaiah Thomas,5,11,0.08,0.06758392602205276,6,0.0
2018,James Harden,1,1,0.955,0.555344820022583,0,1.0
2018,LeBron James,2,3,0.731,0.4064635932445526,1,0.8
2018,Anthony Davis,3,4,0.441,0.2102625072002411,1,0.8
2018,Damian Lillard,4,2,0.205,0.41785427927970886,-2,0.6
2018,Russell Westbrook,5,8,0.075,0.08217057585716248,3,0.4
2019,Giannis Antetokounmpo,1,2,0.932,0.3432253301143646,1,0.8
2019,James Harden,2,1,0.768,0.5094873309135437,-1,0.8
2019,Paul George,3,4,0.352,0.049781620502471924,1,0.8
2019,Nikola Jokić,4,3,0.21,0.11226297914981842,-1,0.8
2019,Stephen Curry,5,13,0.173,0.011537253856658936,8,0.0
2020,Giannis Antetokounmpo,1,1,0.952,0.5413504242897034,0,1.0
2020,LeBron James,2,4,0.746,0.15981993079185486,2,0.6
2020,James Harden,3,2,0.363,0.5179511904716492,-1,0.8
2020,Luka Dončić,4,5,0.198,0.1539265513420105,1,0.8
2020,Anthony Davis,5,6,0.081,0.14893163740634918,1,0.8
2021,Nikola Jokić,1,1,0.961,0.7618935108184814,0,1.0
2021,Stephen Curry,2,4,0.449,0.05012170970439911,2,0.6
2021,Giannis Antetokounmpo,3,2,0.345,0.18269149959087372,-1,0.8
2021,Chris Paul,4,13,0.138,0.0036536622792482376,9,0.0
2021,Luka Dončić,5,6,0.042,0.02097489684820175,1,0.8
2022,Nikola Jokić,1,1,0.875,0.7540665864944458,0,1.0
2022,Joel Embiid,2,3,0.706,0.1959977149963379,1,0.8
2022,Giannis Antetokounmpo,3,2,0.595,0.31697988510131836,-1,0.8
2022,Devin Booker,4,16,0.216,0.00419644545763731,12,0.0
2022,Luka Dončić,5,4,0.146,0.050037555396556854,-1,0.8
